,true_distrib,alter_distrib,method,sign_level,wasserstein_p,wasserstein_order,mc_loops,n_signature,n_test,topo_min,topo_mean,topo_max,topo_quantile,ks,ks_d
0,N01xN01xN01xN01xN01,N01xN01xN01xN01xN01,mergegram,0.05,1,1,250,750,750,0.968,0.94,0.944,0.94,[],[]
1,N01xN01xN01xN01xN01,T3xT3xT3xT3xT3,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
2,N01xN01xN01xN01xN01,T5xT5xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
3,N01xN01xN01xN01xN01,T10xT10xT10xT10xT10,mergegram,0.05,1,1,250,750,750,0.192,0.16,0.216,0.204,[],[]
4,N01xN01xN01xN01xN01,N01xT5xT5xT4xT5,mergegram,0.05,1,1,250,750,750,0.016,0.016,0.012,0.012,[],[]
5,N01xN01xN01xN01xN01,N01xN01xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.064,0.044,0.06,0.056,[],[]
6,N01xN01xN01xN01xN01,N01xN01xN01xN01xT5,mergegram,0.05,1,1,250,750,750,0.56,0.62,0.652,0.652,[],[]
7,N01xN01xN01xN01xN01,LapxLapxLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
8,N01xN01xN01xN01xN01,N01xN01xLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.008,0.004,0.004,0.004,[],[]
9,T3xT3xT3xT3xT3,N01xN01xN01xN01xN01,mergegram,0.05,1,1,250,750,750,0.004,0.0,0.0,0.0,[],[]
10,T3xT3xT3xT3xT3,T3xT3xT3xT3xT3,mergegram,0.05,1,1,250,750,750,0.924,0.896,0.928,0.9,[],[]
11,T3xT3xT3xT3xT3,T5xT5xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.996,0.948,0.056,0.58,[],[]
12,T3xT3xT3xT3xT3,T10xT10xT10xT10xT10,mergegram,0.05,1,1,250,750,750,0.78,0.364,0.0,0.0,[],[]
13,T3xT3xT3xT3xT3,N01xT5xT5xT4xT5,mergegram,0.05,1,1,250,750,750,0.952,0.868,0.004,0.24,[],[]
14,T3xT3xT3xT3xT3,N01xN01xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.86,0.612,0.008,0.076,[],[]
15,T3xT3xT3xT3xT3,N01xN01xN01xN01xT5,mergegram,0.05,1,1,250,750,750,0.252,0.056,0.0,0.0,[],[]
16,T3xT3xT3xT3xT3,LapxLapxLapxLapxLap,mergegram,0.05,1,1,250,750,750,1.0,1.0,0.42,0.948,[],[]
17,T3xT3xT3xT3xT3,N01xN01xLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.992,0.932,0.0,0.332,[],[]
18,T5xT5xT5xT5xT5,N01xN01xN01xN01xN01,mergegram,0.05,1,1,250,750,750,0.472,0.032,0.068,0.0,[],[]
19,T5xT5xT5xT5xT5,T3xT3xT3xT3xT3,mergegram,0.05,1,1,250,750,750,0.124,0.12,0.16,0.116,[],[]
20,T5xT5xT5xT5xT5,T5xT5xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.952,0.956,0.928,0.944,[],[]
21,T5xT5xT5xT5xT5,T10xT10xT10xT10xT10,mergegram,0.05,1,1,250,750,750,0.988,0.748,0.872,0.488,[],[]
22,T5xT5xT5xT5xT5,N01xT5xT5xT4xT5,mergegram,0.05,1,1,250,750,750,0.96,0.96,0.98,0.896,[],[]
23,T5xT5xT5xT5xT5,N01xN01xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.924,0.828,0.944,0.664,[],[]
24,T5xT5xT5xT5xT5,N01xN01xN01xN01xT5,mergegram,0.05,1,1,250,750,750,0.704,0.172,0.376,0.044,[],[]
25,T5xT5xT5xT5xT5,LapxLapxLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.78,0.748,0.488,0.692,[],[]
26,T5xT5xT5xT5xT5,N01xN01xLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.984,0.98,0.964,0.944,[],[]
27,T10xT10xT10xT10xT10,N01xN01xN01xN01xN01,mergegram,0.05,1,1,250,750,750,0.952,0.54,0.28,0.492,[],[]
28,T10xT10xT10xT10xT10,T3xT3xT3xT3xT3,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
29,T10xT10xT10xT10xT10,T5xT5xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.24,0.188,0.404,0.204,[],[]
30,T10xT10xT10xT10xT10,T10xT10xT10xT10xT10,mergegram,0.05,1,1,250,750,750,0.968,0.956,0.944,0.956,[],[]
31,T10xT10xT10xT10xT10,N01xT5xT5xT4xT5,mergegram,0.05,1,1,250,750,750,0.42,0.492,0.74,0.516,[],[]
32,T10xT10xT10xT10xT10,N01xN01xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.712,0.776,0.932,0.82,[],[]
33,T10xT10xT10xT10xT10,N01xN01xN01xN01xT5,mergegram,0.05,1,1,250,750,750,0.92,0.832,0.688,0.808,[],[]
34,T10xT10xT10xT10xT10,LapxLapxLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.016,0.016,0.064,0.016,[],[]
35,T10xT10xT10xT10xT10,N01xN01xLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.464,0.496,0.704,0.532,[],[]
36,N01xT5xT5xT4xT5,N01xN01xN01xN01xN01,mergegram,0.05,1,1,250,750,750,0.72,0.14,0.12,0.032,[],[]
37,N01xT5xT5xT4xT5,T3xT3xT3xT3xT3,mergegram,0.05,1,1,250,750,750,0.032,0.02,0.028,0.02,[],[]
38,N01xT5xT5xT4xT5,T5xT5xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.864,0.876,0.848,0.868,[],[]
39,N01xT5xT5xT4xT5,T10xT10xT10xT10xT10,mergegram,0.05,1,1,250,750,750,0.988,0.932,0.916,0.816,[],[]
40,N01xT5xT5xT4xT5,N01xT5xT5xT4xT5,mergegram,0.05,1,1,250,750,750,0.948,0.96,0.96,0.956,[],[]
41,N01xT5xT5xT4xT5,N01xN01xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.956,0.932,0.96,0.88,[],[]
42,N01xT5xT5xT4xT5,N01xN01xN01xN01xT5,mergegram,0.05,1,1,250,750,750,0.932,0.504,0.504,0.328,[],[]
43,N01xT5xT5xT4xT5,LapxLapxLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.444,0.404,0.256,0.36,[],[]
44,N01xT5xT5xT4xT5,N01xN01xLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.964,0.988,0.944,0.98,[],[]
45,N01xN01xT5xT5xT5,N01xN01xN01xN01xN01,mergegram,0.05,1,1,250,750,750,0.928,0.396,0.232,0.208,[],[]
46,N01xN01xT5xT5xT5,T3xT3xT3xT3xT3,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
47,N01xN01xT5xT5xT5,T5xT5xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.592,0.624,0.52,0.6,[],[]
48,N01xN01xT5xT5xT5,T10xT10xT10xT10xT10,mergegram,0.05,1,1,250,750,750,0.988,0.972,0.956,0.96,[],[]
49,N01xN01xT5xT5xT5,N01xT5xT5xT4xT5,mergegram,0.05,1,1,250,750,750,0.82,0.828,0.836,0.848,[],[]
50,N01xN01xT5xT5xT5,N01xN01xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.932,0.928,0.932,0.948,[],[]
51,N01xN01xT5xT5xT5,N01xN01xN01xN01xT5,mergegram,0.05,1,1,250,750,750,0.964,0.824,0.732,0.672,[],[]
52,N01xN01xT5xT5xT5,LapxLapxLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.096,0.068,0.048,0.06,[],[]
53,N01xN01xT5xT5xT5,N01xN01xLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.844,0.876,0.784,0.876,[],[]
54,N01xN01xN01xN01xT5,N01xN01xN01xN01xN01,mergegram,0.05,1,1,250,750,750,1.0,0.98,0.864,0.944,[],[]
55,N01xN01xN01xN01xT5,T3xT3xT3xT3xT3,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
56,N01xN01xN01xN01xT5,T5xT5xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.056,0.036,0.116,0.036,[],[]
57,N01xN01xN01xN01xT5,T10xT10xT10xT10xT10,mergegram,0.05,1,1,250,750,750,0.86,0.8,0.824,0.784,[],[]
58,N01xN01xN01xN01xT5,N01xT5xT5xT4xT5,mergegram,0.05,1,1,250,750,750,0.216,0.176,0.336,0.176,[],[]
59,N01xN01xN01xN01xT5,N01xN01xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.512,0.468,0.684,0.488,[],[]
60,N01xN01xN01xN01xT5,N01xN01xN01xN01xT5,mergegram,0.05,1,1,250,750,750,0.964,0.98,0.988,0.98,[],[]
61,N01xN01xN01xN01xT5,LapxLapxLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
