,true_distrib,alter_distrib,method,sign_level,wasserstein_p,wasserstein_order,mc_loops,n_signature,n_test,topo_min,topo_mean,topo_max,topo_quantile,ks,ks_d
38,N01xT5xT5xT4xT5,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.876,0.868,0.824,0.868,[],[]
39,N01xT5xT5xT4xT5,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,1.0,0.98,0.932,0.88,[],[]
40,N01xT5xT5xT4xT5,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.956,0.964,0.944,0.964,[],[]
41,N01xT5xT5xT4xT5,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.964,0.948,0.984,0.932,[],[]
42,N01xT5xT5xT4xT5,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.96,0.788,0.624,0.4,[],[]
43,N01xT5xT5xT4xT5,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.516,0.496,0.212,0.468,[],[]
44,N01xT5xT5xT4xT5,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,0.98,0.98,0.94,0.984,[],[]
45,N01xN01xT5xT5xT5,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,0.948,0.62,0.184,0.2,[],[]
46,N01xN01xT5xT5xT5,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.004,0.004,0.088,0.004,[],[]
47,N01xN01xT5xT5xT5,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.62,0.64,0.536,0.624,[],[]
48,N01xN01xT5xT5xT5,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,0.996,0.996,0.98,0.98,[],[]
49,N01xN01xT5xT5xT5,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.844,0.848,0.828,0.84,[],[]
50,N01xN01xT5xT5xT5,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.932,0.928,0.94,0.932,[],[]
51,N01xN01xT5xT5xT5,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.972,0.932,0.716,0.708,[],[]
52,N01xN01xT5xT5xT5,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.088,0.084,0.036,0.076,[],[]
53,N01xN01xT5xT5xT5,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,0.892,0.912,0.732,0.904,[],[]
54,N01xN01xN01xN01xT5,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,1.0,1.0,0.692,0.968,[],[]
55,N01xN01xN01xN01xT5,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.0,0.0,0.016,0.0,[],[]
56,N01xN01xN01xN01xT5,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.048,0.036,0.152,0.036,[],[]
57,N01xN01xN01xN01xT5,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,0.824,0.82,0.852,0.796,[],[]
58,N01xN01xN01xN01xT5,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.212,0.164,0.372,0.152,[],[]
59,N01xN01xN01xN01xT5,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.48,0.48,0.692,0.46,[],[]
60,N01xN01xN01xN01xT5,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.976,0.984,0.948,0.984,[],[]
61,N01xN01xN01xN01xT5,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.004,0.0,0.0,0.0,[],[]
62,N01xN01xN01xN01xT5,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,0.196,0.176,0.276,0.176,[],[]
63,LapxLapxLapxLapxLap,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
64,LapxLapxLapxLapxLap,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.264,0.268,0.408,0.308,[],[]
65,LapxLapxLapxLapxLap,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.836,0.724,0.536,0.64,[],[]
66,LapxLapxLapxLapxLap,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,0.372,0.028,0.004,0.02,[],[]
67,LapxLapxLapxLapxLap,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.8,0.444,0.192,0.336,[],[]
68,LapxLapxLapxLapxLap,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.604,0.172,0.044,0.104,[],[]
69,LapxLapxLapxLapxLap,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.016,0.0,0.0,0.0,[],[]
70,LapxLapxLapxLapxLap,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.94,0.944,0.956,0.956,[],[]
71,LapxLapxLapxLapxLap,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,0.908,0.6,0.248,0.468,[],[]
72,N01xN01xLapxLapxLap,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,0.524,0.048,0.012,0.004,[],[]
73,N01xN01xLapxLapxLap,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.048,0.028,0.088,0.028,[],[]
74,N01xN01xLapxLapxLap,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.776,0.72,0.908,0.74,[],[]
75,N01xN01xLapxLapxLap,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,0.992,0.864,0.804,0.684,[],[]
76,N01xN01xLapxLapxLap,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.892,0.884,0.952,0.9,[],[]
77,N01xN01xLapxLapxLap,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.936,0.912,0.896,0.848,[],[]
78,N01xN01xLapxLapxLap,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.884,0.392,0.344,0.156,[],[]
79,N01xN01xLapxLapxLap,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.464,0.28,0.428,0.272,[],[]
80,N01xN01xLapxLapxLap,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,0.928,0.928,0.964,0.916,[],[]
