,true_distrib,alter_distrib,method,sign_level,wasserstein_p,wasserstein_order,mc_loops,n_signature,n_test,topo_min,topo_mean,topo_max,topo_quantile,ks,ks_d
0,N01xN01xN01xN01xN01,N01xN01xN01xN01xN01,mergegram,0.05,1,1,250,750,750,0.932,0.952,0.952,0.96,[],[]
1,N01xN01xN01xN01xN01,T3xT3xT3xT3xT3,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
2,N01xN01xN01xN01xN01,T5xT5xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
3,N01xN01xN01xN01xN01,T10xT10xT10xT10xT10,mergegram,0.05,1,1,250,750,750,0.032,0.016,0.028,0.016,[],[]
4,N01xN01xN01xN01xN01,N01xT5xT5xT4xT5,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
5,N01xN01xN01xN01xN01,N01xN01xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.004,0.0,[],[]
6,N01xN01xN01xN01xN01,N01xN01xN01xN01xT5,mergegram,0.05,1,1,250,750,750,0.388,0.396,0.584,0.468,[],[]
7,N01xN01xN01xN01xN01,LapxLapxLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
8,N01xN01xN01xN01xN01,N01xN01xLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
9,T3xT3xT3xT3xT3,N01xN01xN01xN01xN01,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
10,T3xT3xT3xT3xT3,T3xT3xT3xT3xT3,mergegram,0.05,1,1,250,750,750,0.912,0.956,0.9,0.956,[],[]
11,T3xT3xT3xT3xT3,T5xT5xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.796,0.756,0.208,0.16,[],[]
12,T3xT3xT3xT3xT3,T10xT10xT10xT10xT10,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
13,T3xT3xT3xT3xT3,N01xT5xT5xT4xT5,mergegram,0.05,1,1,250,750,750,0.44,0.392,0.04,0.04,[],[]
14,T3xT3xT3xT3xT3,N01xN01xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.072,0.048,0.012,0.004,[],[]
15,T3xT3xT3xT3xT3,N01xN01xN01xN01xT5,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
16,T3xT3xT3xT3xT3,LapxLapxLapxLapxLap,mergegram,0.05,1,1,250,750,750,1.0,1.0,0.632,0.852,[],[]
17,T3xT3xT3xT3xT3,N01xN01xLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.48,0.42,0.016,0.012,[],[]
18,T5xT5xT5xT5xT5,N01xN01xN01xN01xN01,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
19,T5xT5xT5xT5xT5,T3xT3xT3xT3xT3,mergegram,0.05,1,1,250,750,750,0.004,0.0,0.004,0.0,[],[]
20,T5xT5xT5xT5xT5,T5xT5xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.944,0.948,0.956,0.944,[],[]
21,T5xT5xT5xT5xT5,T10xT10xT10xT10xT10,mergegram,0.05,1,1,250,750,750,0.724,0.24,0.036,0.124,[],[]
22,T5xT5xT5xT5xT5,N01xT5xT5xT4xT5,mergegram,0.05,1,1,250,750,750,0.972,0.924,0.704,0.872,[],[]
23,T5xT5xT5xT5xT5,N01xN01xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.88,0.596,0.256,0.452,[],[]
24,T5xT5xT5xT5xT5,N01xN01xN01xN01xT5,mergegram,0.05,1,1,250,750,750,0.076,0.008,0.0,0.0,[],[]
25,T5xT5xT5xT5xT5,LapxLapxLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.524,0.448,0.468,0.4,[],[]
26,T5xT5xT5xT5xT5,N01xN01xLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.984,0.964,0.724,0.892,[],[]
27,T10xT10xT10xT10xT10,N01xN01xN01xN01xN01,mergegram,0.05,1,1,250,750,750,0.668,0.116,0.088,0.076,[],[]
28,T10xT10xT10xT10xT10,T3xT3xT3xT3xT3,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
29,T10xT10xT10xT10xT10,T5xT5xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.056,0.012,0.012,0.008,[],[]
30,T10xT10xT10xT10xT10,T10xT10xT10xT10xT10,mergegram,0.05,1,1,250,750,750,0.964,0.956,0.944,0.956,[],[]
31,T10xT10xT10xT10xT10,N01xT5xT5xT4xT5,mergegram,0.05,1,1,250,750,750,0.268,0.224,0.24,0.232,[],[]
32,T10xT10xT10xT10xT10,N01xN01xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.628,0.72,0.756,0.74,[],[]
33,T10xT10xT10xT10xT10,N01xN01xN01xN01xT5,mergegram,0.05,1,1,250,750,750,0.828,0.588,0.524,0.48,[],[]
34,T10xT10xT10xT10xT10,LapxLapxLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
35,T10xT10xT10xT10xT10,N01xN01xLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.268,0.212,0.224,0.232,[],[]
36,N01xT5xT5xT4xT5,N01xN01xN01xN01xN01,mergegram,0.05,1,1,250,750,750,0.02,0.0,0.0,0.0,[],[]
37,N01xT5xT5xT4xT5,T3xT3xT3xT3xT3,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
38,N01xT5xT5xT4xT5,T5xT5xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.792,0.764,0.752,0.776,[],[]
39,N01xT5xT5xT4xT5,T10xT10xT10xT10xT10,mergegram,0.05,1,1,250,750,750,0.96,0.708,0.368,0.488,[],[]
40,N01xT5xT5xT4xT5,N01xT5xT5xT4xT5,mergegram,0.05,1,1,250,750,750,0.96,0.948,0.92,0.936,[],[]
41,N01xT5xT5xT4xT5,N01xN01xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.948,0.868,0.712,0.776,[],[]
42,N01xT5xT5xT4xT5,N01xN01xN01xN01xT5,mergegram,0.05,1,1,250,750,750,0.412,0.068,0.008,0.008,[],[]
43,N01xT5xT5xT4xT5,LapxLapxLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.152,0.08,0.056,0.076,[],[]
