,true_distrib,alter_distrib,method,sign_level,wasserstein_p,wasserstein_order,mc_loops,n_signature,n_test,topo_min,topo_mean,topo_max,topo_quantile,ks,ks_d
0,N01xN01xN01xN01xN01,N01xN01xN01xN01xN01,mergegram,0.05,1,1,250,750,750,0.956,0.948,0.952,0.952,[],[]
1,N01xN01xN01xN01xN01,T3xT3xT3xT3xT3,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
2,N01xN01xN01xN01xN01,T5xT5xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.068,0.024,0.048,0.024,[],[]
3,N01xN01xN01xN01xN01,T10xT10xT10xT10xT10,mergegram,0.05,1,1,250,750,750,0.468,0.408,0.544,0.448,[],[]
4,N01xN01xN01xN01xN01,N01xT5xT5xT4xT5,mergegram,0.05,1,1,250,750,750,0.16,0.104,0.212,0.14,[],[]
5,N01xN01xN01xN01xN01,N01xN01xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.22,0.22,0.316,0.24,[],[]
6,N01xN01xN01xN01xN01,N01xN01xN01xN01xT5,mergegram,0.05,1,1,250,750,750,0.724,0.736,0.836,0.776,[],[]
7,N01xN01xN01xN01xN01,LapxLapxLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.0,0.0,0.008,0.004,[],[]
8,N01xN01xN01xN01xN01,N01xN01xLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.052,0.052,0.128,0.064,[],[]
9,T3xT3xT3xT3xT3,N01xN01xN01xN01xN01,mergegram,0.05,1,1,250,750,750,0.84,0.812,0.0,0.032,[],[]
10,T3xT3xT3xT3xT3,T3xT3xT3xT3xT3,mergegram,0.05,1,1,250,750,750,0.96,0.976,0.924,0.972,[],[]
11,T3xT3xT3xT3xT3,T5xT5xT5xT5xT5,mergegram,0.05,1,1,250,750,750,1.0,1.0,0.328,0.948,[],[]
12,T3xT3xT3xT3xT3,T10xT10xT10xT10xT10,mergegram,0.05,1,1,250,750,750,0.98,0.984,0.0,0.484,[],[]
13,T3xT3xT3xT3xT3,N01xT5xT5xT4xT5,mergegram,0.05,1,1,250,750,750,0.996,1.0,0.148,0.912,[],[]
14,T3xT3xT3xT3xT3,N01xN01xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.996,1.0,0.072,0.792,[],[]
15,T3xT3xT3xT3xT3,N01xN01xN01xN01xT5,mergegram,0.05,1,1,250,750,750,0.888,0.892,0.0,0.236,[],[]
16,T3xT3xT3xT3xT3,LapxLapxLapxLapxLap,mergegram,0.05,1,1,250,750,750,1.0,1.0,0.74,1.0,[],[]
17,T3xT3xT3xT3xT3,N01xN01xLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.996,0.996,0.18,0.892,[],[]
18,T5xT5xT5xT5xT5,N01xN01xN01xN01xN01,mergegram,0.05,1,1,250,750,750,0.956,0.448,0.032,0.188,[],[]
19,T5xT5xT5xT5xT5,T3xT3xT3xT3xT3,mergegram,0.05,1,1,250,750,750,0.312,0.28,0.572,0.256,[],[]
20,T5xT5xT5xT5xT5,T5xT5xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.952,0.96,0.944,0.956,[],[]
21,T5xT5xT5xT5xT5,T10xT10xT10xT10xT10,mergegram,0.05,1,1,250,750,750,0.992,0.94,0.62,0.836,[],[]
22,T5xT5xT5xT5xT5,N01xT5xT5xT4xT5,mergegram,0.05,1,1,250,750,750,0.984,0.972,0.916,0.956,[],[]
23,T5xT5xT5xT5xT5,N01xN01xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.996,0.988,0.732,0.92,[],[]
24,T5xT5xT5xT5xT5,N01xN01xN01xN01xT5,mergegram,0.05,1,1,250,750,750,0.984,0.828,0.24,0.576,[],[]
25,T5xT5xT5xT5xT5,LapxLapxLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.868,0.856,0.936,0.84,[],[]
26,T5xT5xT5xT5xT5,N01xN01xLapxLapxLap,mergegram,0.05,1,1,250,750,750,0.992,0.984,0.924,0.972,[],[]
27,T10xT10xT10xT10xT10,N01xN01xN01xN01xN01,mergegram,0.05,1,1,250,750,750,0.988,0.808,0.82,0.74,[],[]
28,T10xT10xT10xT10xT10,T3xT3xT3xT3xT3,mergegram,0.05,1,1,250,750,750,0.016,0.012,0.012,0.012,[],[]
29,T10xT10xT10xT10xT10,T5xT5xT5xT5xT5,mergegram,0.05,1,1,250,750,750,0.452,0.408,0.408,0.452,[],[]
30,T10xT10xT10xT10xT10,T10xT10xT10xT10xT10,mergegram,0.05,1,1,250,750,750,0.964,0.968,0.952,0.96,[],[]
31,T10xT10xT10xT10xT10,N01xT5xT5xT4xT5,mergegram,0.05,1,1,250,750,750,0.672,0.68,0.7,0.708,[],[]
