,true_distrib,alter_distrib,method,sign_level,wasserstein_p,wasserstein_order,mc_loops,n_signature,n_test,topo_min,topo_mean,topo_max,topo_quantile,ks,ks_d
0,N01xN01xN01xN01xN01,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,0.936,0.952,0.964,0.948,[],[]
1,N01xN01xN01xN01xN01,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
2,N01xN01xN01xN01xN01,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.032,0.02,0.024,0.02,[],[]
3,N01xN01xN01xN01xN01,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,0.38,0.352,0.472,0.38,[],[]
4,N01xN01xN01xN01xN01,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.08,0.088,0.148,0.096,[],[]
5,N01xN01xN01xN01xN01,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.196,0.16,0.232,0.176,[],[]
6,N01xN01xN01xN01xN01,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.652,0.692,0.812,0.748,[],[]
7,N01xN01xN01xN01xN01,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.0,0.0,0.004,0.0,[],[]
8,N01xN01xN01xN01xN01,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,0.04,0.032,0.064,0.032,[],[]
9,T3xT3xT3xT3xT3,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,1.0,1.0,0.0,1.0,[],[]
10,T3xT3xT3xT3xT3,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.972,0.968,0.928,0.968,[],[]
11,T3xT3xT3xT3xT3,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,1.0,1.0,0.772,1.0,[],[]
12,T3xT3xT3xT3xT3,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,1.0,1.0,0.092,1.0,[],[]
13,T3xT3xT3xT3xT3,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,1.0,1.0,0.572,1.0,[],[]
14,T3xT3xT3xT3xT3,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,1.0,1.0,0.332,1.0,[],[]
15,T3xT3xT3xT3xT3,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,1.0,1.0,0.04,1.0,[],[]
16,T3xT3xT3xT3xT3,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,1.0,1.0,0.956,1.0,[],[]
17,T3xT3xT3xT3xT3,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,1.0,1.0,0.644,1.0,[],[]
18,T5xT5xT5xT5xT5,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,0.98,0.856,0.008,0.176,[],[]
19,T5xT5xT5xT5xT5,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.332,0.3,0.64,0.272,[],[]
20,T5xT5xT5xT5xT5,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.96,0.94,0.936,0.94,[],[]
21,T5xT5xT5xT5xT5,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,1.0,0.992,0.468,0.868,[],[]
22,T5xT5xT5xT5xT5,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.98,0.976,0.896,0.968,[],[]
23,T5xT5xT5xT5xT5,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,1.0,0.992,0.668,0.952,[],[]
24,T5xT5xT5xT5xT5,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.98,0.956,0.144,0.624,[],[]
25,T5xT5xT5xT5xT5,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.9,0.9,0.928,0.86,[],[]
26,T5xT5xT5xT5xT5,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,0.996,0.988,0.9,0.98,[],[]
27,T10xT10xT10xT10xT10,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,1.0,0.868,0.496,0.724,[],[]
28,T10xT10xT10xT10xT10,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.02,0.004,0.016,0.004,[],[]
29,T10xT10xT10xT10xT10,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.432,0.344,0.496,0.372,[],[]
30,T10xT10xT10xT10xT10,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,0.976,0.952,0.932,0.956,[],[]
31,T10xT10xT10xT10xT10,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.664,0.62,0.728,0.644,[],[]
32,T10xT10xT10xT10xT10,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.82,0.8,0.872,0.832,[],[]
33,T10xT10xT10xT10xT10,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.968,0.916,0.808,0.908,[],[]
34,T10xT10xT10xT10xT10,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.128,0.076,0.14,0.084,[],[]
35,T10xT10xT10xT10xT10,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,0.616,0.556,0.704,0.592,[],[]
36,N01xT5xT5xT4xT5,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,1.0,1.0,0.052,0.9,[],[]
37,N01xT5xT5xT4xT5,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.216,0.28,0.756,0.264,[],[]
38,N01xT5xT5xT4xT5,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.912,0.936,0.984,0.932,[],[]
