,true_distrib,alter_distrib,method,sign_level,wasserstein_p,wasserstein_order,mc_loops,n_signature,n_test,topo_min,topo_mean,topo_max,topo_quantile,ks,ks_d
0,N01xN01xN01xN01xN01,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,0.956,0.952,0.952,0.948,[],[]
1,N01xN01xN01xN01xN01,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
2,N01xN01xN01xN01xN01,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
3,N01xN01xN01xN01xN01,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,0.012,0.008,0.008,0.008,[],[]
4,N01xN01xN01xN01xN01,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
5,N01xN01xN01xN01xN01,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
6,N01xN01xN01xN01xN01,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.34,0.276,0.348,0.308,[],[]
7,N01xN01xN01xN01xN01,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
8,N01xN01xN01xN01xN01,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
9,T3xT3xT3xT3xT3,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,0.0,1.0,0.0,1.0,[],[]
10,T3xT3xT3xT3xT3,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.94,0.956,0.936,0.956,[],[]
11,T3xT3xT3xT3xT3,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.996,1.0,0.076,1.0,[],[]
12,T3xT3xT3xT3xT3,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,0.392,1.0,0.0,1.0,[],[]
13,T3xT3xT3xT3xT3,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.98,1.0,0.04,1.0,[],[]
14,T3xT3xT3xT3xT3,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.832,0.996,0.028,0.996,[],[]
15,T3xT3xT3xT3xT3,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.0,1.0,0.008,1.0,[],[]
16,T3xT3xT3xT3xT3,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,1.0,1.0,0.196,1.0,[],[]
17,T3xT3xT3xT3xT3,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,1.0,1.0,0.004,1.0,[],[]
18,T5xT5xT5xT5xT5,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
19,T5xT5xT5xT5xT5,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.0,0.0,0.02,0.0,[],[]
20,T5xT5xT5xT5xT5,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.944,0.932,0.948,0.948,[],[]
21,T5xT5xT5xT5xT5,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,0.672,0.464,0.56,0.108,[],[]
22,T5xT5xT5xT5xT5,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.952,0.948,0.996,0.864,[],[]
23,T5xT5xT5xT5xT5,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.864,0.812,0.9,0.496,[],[]
24,T5xT5xT5xT5xT5,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.036,0.012,0.056,0.0,[],[]
25,T5xT5xT5xT5xT5,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.504,0.6,0.22,0.552,[],[]
26,T5xT5xT5xT5xT5,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,0.992,0.996,1.0,0.924,[],[]
27,T10xT10xT10xT10xT10,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,0.656,0.068,0.012,0.032,[],[]
28,T10xT10xT10xT10xT10,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
29,T10xT10xT10xT10xT10,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.052,0.008,0.02,0.008,[],[]
30,T10xT10xT10xT10xT10,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,0.936,0.952,0.956,0.96,[],[]
31,T10xT10xT10xT10xT10,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.24,0.172,0.22,0.196,[],[]
32,T10xT10xT10xT10xT10,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.648,0.612,0.696,0.636,[],[]
33,T10xT10xT10xT10xT10,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.844,0.532,0.312,0.428,[],[]
34,T10xT10xT10xT10xT10,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
35,T10xT10xT10xT10xT10,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,0.252,0.148,0.248,0.168,[],[]
36,N01xT5xT5xT4xT5,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,0.008,0.0,0.0,0.0,[],[]
37,N01xT5xT5xT4xT5,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.0,0.0,0.004,0.0,[],[]
38,N01xT5xT5xT4xT5,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.8,0.836,0.716,0.816,[],[]
39,N01xT5xT5xT4xT5,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,0.972,0.964,0.492,0.552,[],[]
40,N01xT5xT5xT4xT5,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.948,0.96,0.944,0.952,[],[]
41,N01xT5xT5xT4xT5,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.956,0.956,0.888,0.88,[],[]
42,N01xT5xT5xT4xT5,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.468,0.328,0.028,0.028,[],[]
43,N01xT5xT5xT4xT5,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.196,0.26,0.036,0.204,[],[]
44,N01xT5xT5xT4xT5,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,0.98,0.996,0.876,0.992,[],[]
45,N01xN01xT5xT5xT5,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,0.968,0.164,0.0,0.0,[],[]
46,N01xN01xT5xT5xT5,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.0,0.0,0.044,0.0,[],[]
47,N01xN01xT5xT5xT5,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.508,0.476,0.708,0.456,[],[]
48,N01xN01xT5xT5xT5,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,1.0,0.992,0.724,0.988,[],[]
49,N01xN01xT5xT5xT5,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.876,0.86,0.944,0.86,[],[]
50,N01xN01xT5xT5xT5,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.956,0.952,0.96,0.944,[],[]
51,N01xN01xT5xT5xT5,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.956,0.744,0.104,0.484,[],[]
52,N01xN01xT5xT5xT5,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.048,0.04,0.032,0.02,[],[]
53,N01xN01xT5xT5xT5,N01xN01xLapxLapxLap,persistence,0.05,1,1,250,750,750,0.912,0.9,0.872,0.888,[],[]
54,N01xN01xN01xN01xT5,N01xN01xN01xN01xN01,persistence,0.05,1,1,250,750,750,1.0,0.952,1.0,0.808,[],[]
55,N01xN01xN01xN01xT5,T3xT3xT3xT3xT3,persistence,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
56,N01xN01xN01xN01xT5,T5xT5xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.004,0.004,0.036,0.0,[],[]
57,N01xN01xN01xN01xT5,T10xT10xT10xT10xT10,persistence,0.05,1,1,250,750,750,0.66,0.628,0.272,0.556,[],[]
58,N01xN01xN01xN01xT5,N01xT5xT5xT4xT5,persistence,0.05,1,1,250,750,750,0.032,0.012,0.06,0.008,[],[]
59,N01xN01xN01xN01xT5,N01xN01xT5xT5xT5,persistence,0.05,1,1,250,750,750,0.268,0.252,0.204,0.22,[],[]
60,N01xN01xN01xN01xT5,N01xN01xN01xN01xT5,persistence,0.05,1,1,250,750,750,0.944,0.932,0.964,0.932,[],[]
61,N01xN01xN01xN01xT5,LapxLapxLapxLapxLap,persistence,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
