,true_distrib,alter_distrib,method,sign_level,wasserstein_p,wasserstein_order,mc_loops,n_signature,n_test,topo_min,topo_mean,topo_max,topo_quantile,ks,ks_d
0,N01xN01xN01xN01xN01,N01xN01xN01xN01xN01,ecc,0.05,1,1,250,750,750,0.8666666666666667,0.948,0.9946666666666667,0.952,[],[]
1,N01xN01xN01xN01xN01,T3xT3xT3xT3xT3,ecc,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
2,N01xN01xN01xN01xN01,T5xT5xT5xT5xT5,ecc,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
3,N01xN01xN01xN01xN01,T10xT10xT10xT10xT10,ecc,0.05,1,1,250,750,750,0.034666666666666665,0.017333333333333333,0.24533333333333332,0.048,[],[]
4,N01xN01xN01xN01xN01,N01xT5xT5xT4xT5,ecc,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
5,N01xN01xN01xN01xN01,N01xN01xT5xT5xT5,ecc,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
6,N01xN01xN01xN01xN01,N01xN01xN01xN01xT5,ecc,0.05,1,1,250,750,750,0.6266666666666667,0.6866666666666666,0.0013333333333333333,0.6893333333333334,[],[]
7,N01xN01xN01xN01xN01,LapxLapxLapxLapxLap,ecc,0.05,1,1,250,750,750,0.0,0.0,0.0,0.0,[],[]
